SpPair,program,ploidy,category,n
AthChi,OFb_base,diploid,one:one,12389
AthChi,OFb_base,diploid,1:M,1412
AthChi,OFb_base,diploid,M:1,1140
AthChi,OFb_base,diploid,M:M,3013
AthCru,OFb_base,diploid,one:one,13899
AthCru,OFb_base,diploid,1:M,1025
AthCru,OFb_base,diploid,M:1,1084
AthCru,OFb_base,diploid,M:M,2784
AthTar,OFb_base,diploid,one:one,8885
AthTar,OFb_base,diploid,1:M,1712
AthTar,OFb_base,diploid,M:1,1946
AthTar,OFb_base,diploid,M:M,2357
AthAar,OFb_base,diploid,one:one,8890
AthAar,OFb_base,diploid,1:M,1109
AthAar,OFb_base,diploid,M:1,2120
AthAar,OFb_base,diploid,M:M,2416
ChiCru,OFb_base,diploid,one:one,12359
ChiCru,OFb_base,diploid,1:M,1173
ChiCru,OFb_base,diploid,M:1,1471
ChiCru,OFb_base,diploid,M:M,2792
ChiTar,OFb_base,diploid,one:one,8500
ChiTar,OFb_base,diploid,1:M,1614
ChiTar,OFb_base,diploid,M:1,2157
ChiTar,OFb_base,diploid,M:M,2423
ChiAar,OFb_base,diploid,one:one,8495
ChiAar,OFb_base,diploid,1:M,1075
ChiAar,OFb_base,diploid,M:1,2406
ChiAar,OFb_base,diploid,M:M,2385
CruTar,OFb_base,diploid,one:one,8877
CruTar,OFb_base,diploid,1:M,1701
CruTar,OFb_base,diploid,M:1,1911
CruTar,OFb_base,diploid,M:M,2268
CruAar,OFb_base,diploid,one:one,8789
CruAar,OFb_base,diploid,1:M,1144
CruAar,OFb_base,diploid,M:1,2121
CruAar,OFb_base,diploid,M:M,2359
TarAar,OFb_base,diploid,one:one,6988
TarAar,OFb_base,diploid,1:M,1515
TarAar,OFb_base,diploid,M:1,2233
TarAar,OFb_base,diploid,M:M,2007
AthChi,BR,diploid,one:one,16340
AthChi,BR,diploid,1:M,1136
AthChi,BR,diploid,M:1,752
AthChi,BR,diploid,M:M,1489
AthCru,BR,diploid,one:one,17138
AthCru,BR,diploid,1:M,697
AthCru,BR,diploid,M:1,687
AthCru,BR,diploid,M:M,1576
AthTar,BR,diploid,one:one,13881
AthTar,BR,diploid,1:M,1048
AthTar,BR,diploid,M:1,1166
AthTar,BR,diploid,M:M,855
AthAar,BR,diploid,one:one,13579
AthAar,BR,diploid,1:M,784
AthAar,BR,diploid,M:1,1034
AthAar,BR,diploid,M:M,747
ChiCru,BR,diploid,one:one,16171
ChiCru,BR,diploid,1:M,770
ChiCru,BR,diploid,M:1,1131
ChiCru,BR,diploid,M:M,1429
ChiTar,BR,diploid,one:one,13419
ChiTar,BR,diploid,1:M,944
