,method,SpeciesPair,numberOfExactOG,totalGenes,proportionOfExactOG,meanJI,sdJI,seJI
0,BR,AthChi,11289,25699,0.43927779291022995,0.5343887446031521,0.4446992457052423,0.0027740116497827006
1,BR,AthCru,12789,25723,0.4971815107102593,0.5825666258977003,0.4439961030335048,0.0027683331254231085
2,BR,AthTar,8251,25640,0.321801872074883,0.4164902032170855,0.43978369432568204,0.0027465032214058767
3,BR,AthAar,8154,25622,0.3182421356646632,0.4064744405428891,0.43951106274820745,0.0027457645748287995
4,BR,ChiCru,11259,26775,0.42050420168067226,0.5083091946595707,0.4512368359594756,0.0027576541955187787
5,BR,ChiTar,7703,26686,0.2886532264108521,0.3798505929555354,0.43352941803831213,0.0026538528093588663
6,BR,ChiAar,7629,26652,0.28624493471409274,0.3733620233854949,0.432723440601308,0.0026506080905154567
7,BR,CruTar,8230,26058,0.3158339089722926,0.40740700486472675,0.4399153882013697,0.0027252014663738935
8,BR,CruAar,8064,26038,0.30970120592979494,0.39666639233696216,0.4382929851933921,0.0027161935186167958
9,BR,TarAar,6333,22563,0.2806807605371626,0.3769739171755665,0.4294000682882255,0.002858667784602247
0,OFb,AthChi,11873,26361,0.4504002124350366,0.535817197659976,0.4481493353345501,0.0027602080369325214
1,OFb,AthCru,13159,26380,0.4988248673237301,0.5786030180179957,0.44618950464938323,0.002747147352604927
2,OFb,AthTar,8539,26357,0.3239746556891907,0.41274070808058927,0.4395694519808195,0.0027075688879697863
3,OFb,AthAar,8786,26365,0.3332448321638536,0.41296461329299894,0.4452568770716165,0.0027421849825037775
4,OFb,ChiCru,11842,28514,0.41530476257277127,0.49270200036214384,0.4546714037933037,0.0026925797036920084
5,OFb,ChiTar,8172,28491,0.2868274191850058,0.36833538953175016,0.4323385251513914,0.002561356858554932
6,OFb,ChiAar,8354,28520,0.2929172510518934,0.36843446866157625,0.43670792394366775,0.002585927302779229
7,OFb,CruTar,8519,26929,0.3163504029113595,0.4016377297586415,0.439288414674201,0.0026769461605841366
8,OFb,CruAar,8677,26945,0.3220263499721655,0.4003468731406901,0.4436562977428195,0.0027027604599370336
9,OFb,TarAar,6778,24975,0.2713913913913914,0.35639402961799227,0.42727346654032994,0.0027036668475976136
0,OFd,AthChi,11836,26281,0.4503633803888741,0.5363623473131581,0.44798709837552847,0.002763405157278754
1,OFd,AthCru,13153,26306,0.5,0.579677761793426,0.44622852883823877,0.0027512491716405723
2,OFd,AthTar,8499,26273,0.3234879914741369,0.4126139447636494,0.43956228195830327,0.0027118495166914354
3,OFd,AthAar,8736,26270,0.33254663113818045,0.4125047756842829,0.4449950688436709,0.0027455234790071175
4,OFd,ChiCru,11801,28546,0.4134029286064598,0.4908563831115078,0.4549284454072594,0.002692591448544341
5,OFd,ChiTar,8062,28522,0.2826590000701213,0.36517951203214116,0.4311689247449198,0.002553039093551056
6,OFd,ChiAar,8289,28515,0.2906891109942136,0.3671048361926741,0.43599619779765636,0.0025819392164170077
7,OFd,CruTar,8473,26849,0.3155797236396141,0.40133211066845337,0.43921760097679863,0.002680499175861308
8,OFd,CruAar,8623,26855,0.3210947681995904,0.3998012108935124,0.4433374633937875,0.0027053399991879075
9,OFd,TarAar,6706,24919,0.269111922629319,0.35519850145203,0.4264957999795274,0.002701776710158655
0,OFm,AthChi,11885,26378,0.4505648646599439,0.5355327038531964,0.44844083281116365,0.0027611132399668645
1,OFm,AthCru,13184,26394,0.4995074638175343,0.5789672393615928,0.44646078424955643,0.0027480884803812227
2,OFm,AthTar,8532,26380,0.32342683851402576,0.41192503932685387,0.43967682063696,0.0027070493618260093
3,OFm,AthAar,8780,26376,0.33287837427964817,0.4124057192638207,0.4452041757994269,0.002741288613067257
4,OFm,ChiCru,11837,28611,0.4137219950368739,0.49093168223672595,0.454830303280032,0.0026889509077779304
5,OFm,ChiTar,8136,28596,0.28451531682752834,0.36607819571723,0.4318074940795112,0.002553509812665783
6,OFm,ChiAar,8331,28609,0.29120206927889825,0.3669620354193088,0.4361491973847016,0.0025785985775040174
7,OFm,CruTar,8510,26961,0.3156411112347465,0.40088621200105395,0.4392972733378053,0.002675411006847895
8,OFm,CruAar,8658,26972,0.3209995550941717,0.39936698623480954,0.4433651656728239,0.002699634645336998
9,OFm,TarAar,6725,24989,0.2691184121013246,0.3549350526108588,0.4264790575738007,0.0026978839923720702
0,ON,AthChi,9887,26476,0.3734325426801632,0.4899014262487806,0.43059226828333325,0.0026463058761605623
1,ON,AthCru,11032,26479,0.4166320480380679,0.529423656269294,0.43163663719952916,0.002652574012978386
2,ON,AthTar,7319,26476,0.2764390391297779,0.3851668705194428,0.4216697468563584,0.0025914704259642402
3,ON,AthAar,7827,26473,0.2956597287802667,0.3918481663361034,0.43080957670537956,0.002647791411180487
4,ON,ChiCru,9843,29185,0.33726229227342813,0.44207927879429454,0.4347590440385588,0.0025448886002689204
5,ON,ChiTar,6801,29185,0.23303066643823883,0.33297322585211353,0.4094498990651401,0.002396739975395934
6,ON,ChiAar,7252,29185,0.2484838101764605,0.34026602318205573,0.4178402026773325,0.002445853129701172
7,ON,CruTar,7267,27027,0.2688792688792689,0.3742571756384612,0.4208126589981455,0.002559704754281779
8,ON,CruAar,7721,27027,0.2856772856772857,0.38008558155853295,0.4291146674302936,0.0026102039253486607
9,ON,TarAar,5976,25707,0.23246586532850974,0.33154554192176267,0.41026091028840805,0.0025587887965685925
0,SPd,AthChi,12072,24794,0.48689198999758004,0.5702184234553836,0.44796216011996187,0.002844906724085726
1,SPd,AthCru,13477,24841,0.5425304939414677,0.6181503291321362,0.44237132439943866,0.002806741588301496
2,SPd,AthTar,8693,24679,0.35224279752015886,0.440418259870294,0.44697292554575696,0.0028452303879600055
3,SPd,AthAar,8730,24631,0.3544314075758191,0.43588511194524365,0.44946602049932577,0.0028638867664641117
4,SPd,ChiCru,12045,24050,0.5008316008316008,0.5806157619032796,0.44952381418656245,0.002898645891623247
5,SPd,ChiTar,8270,23937,0.34549024522705435,0.43216665929111325,0.4474062875222555,0.0028917931401573837
6,SPd,ChiAar,8322,23797,0.3497079463797958,0.4324328933402992,0.4491807168760763,0.002911789654207145
7,SPd,CruTar,8690,24707,0.35172218399643823,0.43818430314546847,0.44786093955363304,0.0028492672039847435
