,method,SpeciesPair,numberOfExactOG,totalGenes,proportionOfExactOG,meanJI,sdJI,seJI
0,BR,AthChi,11741,26098,0.4498812169514905,0.537809249674801,0.4486829952373241,0.002777384433064896
1,BR,AthCru,13295,26110,0.5091918805055534,0.5869729740084371,0.4476896056669002,0.00277059837561311
2,BR,AthTar,8379,26063,0.32149023519932474,0.41257308715231655,0.4401109212656276,0.0027261512267232994
3,BR,AthSal,6135,26080,0.23523773006134968,0.3858370338883795,0.39208476198645176,0.002427874147289277
4,BR,AthBra,6551,26084,0.2511501303481061,0.4081956292712565,0.3938587628965044,0.002438672139307578
5,BR,AthCsa,241,26086,0.009238672084643103,0.23565888829490003,0.1931246196545619,0.0011957321226911883
6,BR,AthAar,8413,26055,0.32289387833429284,0.40626330873039257,0.44211445317827036,0.0027389819731861204
7,BR,ChiCru,11709,27285,0.4291368884002199,0.5104017567140077,0.45502676607496373,0.0027547041601381343
8,BR,ChiTar,7822,27215,0.28741502847694284,0.3755414376619528,0.4333212692334282,0.002626671955537803
9,BR,ChiSal,5712,27266,0.20949167461307122,0.35271148747446096,0.38804333244148104,0.002350008918051796
10,BR,ChiBra,6116,27280,0.22419354838709676,0.37384792110909787,0.39030755394429006,0.0023631145468757902
11,BR,ChiCsa,190,27326,0.00695308497401742,0.21408714310309812,0.1944795929380282,0.0011764839447579959
12,BR,ChiAar,7869,27194,0.2893653011693756,0.3720688345218272,0.43478128832952745,0.0026365395988245423
13,BR,CruTar,8346,26658,0.3130767499437317,0.4014450607060943,0.4396710105213529,0.002692861701764427
14,BR,CruSal,6094,26668,0.22851357432128394,0.3765506045223369,0.3915736800822065,0.002397829337278937
15,BR,CruBra,6632,26681,0.24856639556238522,0.4034632066957986,0.3943433590414751,0.0024142013033279317
16,BR,CruCsa,278,26692,0.010415105649632848,0.2461023971850947,0.20052468154297215,0.0012273750118028401
17,BR,CruAar,8313,26655,0.3118739448508723,0.39382009610518326,0.4403822255023054,0.0026973694748032204
