SpPair,one:one,1:M,M:1,M:M
AthChi,12389,1412,1140,3013
AthCru,13899,1025,1084,2784
AthTar,8885,1712,1946,2357
AthSal,6828,5828,1056,3077
AthBra,7321,6168,957,3094
AthCsa,3572,12222,409,2793
AthAar,8890,1109,2120,2416
ChiCru,12359,1173,1471,2792
ChiTar,8500,1614,2157,2423
ChiSal,6804,5120,1349,3162
ChiBra,7054,5852,1208,3205
ChiCsa,3554,11159,726,2969
ChiAar,8495,1075,2406,2385
CruTar,8877,1701,1911,2268
CruSal,6892,5729,1070,2998
CruBra,7472,6202,970,3004
CruCsa,4851,11538,431,2756
CruAar,8789,1144,2121,2359
TarSal,7154,3254,1851,2291
TarBra,6634,4167,1572,2513
TarCsa,2424,9033,829,2772
TarAar,6988,1515,2233,2007
SalBra,9238,2766,1745,6594
SalCsa,765,9549,701,6274
SalAar,5807,1110,4886,2387
BraCsa,1026,9446,872,6962
BraAar,5804,992,5168,2437
CsaAar,1834,448,9760,2489
