SpPair,one:one,1:M,M:1,M:M
AthChi,16959,1252,808,1191
AthCru,17812,779,736,1305
AthTar,14392,1186,909,866
AthSal,9685,7577,624,1220
AthBra,9862,7924,567,1365
AthCsa,497,18081,77,1987
AthAar,14107,885,948,552
ChiCru,16797,841,1245,1142
ChiTar,13903,1089,1262,914
ChiSal,9323,7389,873,1374
ChiBra,9496,7692,803,1540
ChiCsa,438,17161,88,2353
ChiAar,13647,865,1320,549
CruTar,14307,1143,915,877
CruSal,9638,7570,641,1217
CruBra,9874,7912,571,1397
CruCsa,526,18132,75,2079
CruAar,14038,871,911,548
TarSal,8251,6609,746,1261
TarBra,8343,6893,684,1380
TarCsa,336,14903,64,2002
TarAar,12053,824,1148,492
SalBra,9655,1704,1382,7684
SalCsa,287,10027,151,8627
SalAar,7871,516,6751,878
BraCsa,317,10122,189,9080
BraAar,7984,471,6899,948
CsaAar,264,35,14661,1396
