SpPair,one:one,1:M,M:1,M:M
AthChi,15229,1366,877,1991
AthCru,15992,870,766,2140
AthTar,12276,1603,1111,1401
AthSal,9074,6675,731,1930
AthBra,8832,7430,620,2153
AthCsa,1742,15288,144,2790
AthAar,13676,1089,1896,411
ChiCru,15020,955,1343,1938
ChiTar,11811,1511,1467,1466
ChiSal,8706,6467,1025,2097
ChiBra,8458,7192,869,2358
ChiCsa,1680,14535,263,3151
ChiAar,13188,1060,2301,430
CruTar,12166,1555,1139,1415
CruSal,9005,6631,778,1937
CruBra,8836,7369,612,2242
CruCsa,1773,15262,157,2927
CruAar,13546,1069,1894,416
TarSal,7329,5590,1021,1920
TarBra,7039,6190,908,2093
TarCsa,1397,12137,248,2832
TarAar,11181,976,2192,376
SalBra,8278,2112,1298,7527
SalCsa,1073,8908,695,7943
SalAar,8060,617,6929,860
BraCsa,1145,8448,691,8951
BraAar,7767,569,7557,930
CsaAar,1549,153,14052,1383
