SpPair,one:one,1:M,M:1,M:M
AthChi,15738,1369,855,1797
AthCru,16550,851,785,1910
AthTar,12660,1651,1049,1231
AthSal,9582,6664,757,1692
AthBra,9357,7411,628,1924
AthCsa,2165,15424,186,2549
AthAar,13784,1171,1649,392
ChiCru,15557,886,1354,1741
ChiTar,12196,1538,1455,1323
ChiSal,9210,6445,1081,1873
ChiBra,8979,7166,911,2148
ChiCsa,2134,14581,292,2946
ChiAar,13316,1141,2076,420
CruTar,12541,1606,1078,1245
CruSal,9514,6635,781,1695
CruBra,9365,7381,631,1983
CruCsa,2196,15444,191,2662
CruAar,13684,1147,1629,389
TarSal,7721,5530,1095,1740
TarBra,7444,6143,969,1915
TarCsa,1757,12143,309,2664
TarAar,11240,1033,2076,360
SalBra,8896,2203,1380,7223
SalCsa,1381,9194,824,7552
SalAar,8291,656,6604,871
BraCsa,1391,8777,902,8488
BraAar,8019,608,7200,953
CsaAar,1875,185,13630,1410
