SpPair,one:one,1:M,M:1,M:M
AthChi,13512,1698,963,2746
AthCru,14451,882,888,2829
AthTar,11085,2152,1394,2034
AthSal,7615,7150,777,2778
AthBra,7598,7500,639,3013
AthCsa,342,15065,68,3677
AthAar,12092,1450,1843,1437
ChiCru,13393,998,1728,2625
ChiTar,10427,2024,1943,2120
ChiSal,7161,6792,1166,3089
ChiBra,7109,7144,1032,3302
ChiCsa,297,14163,80,4326
ChiAar,11414,1391,2455,1474
CruTar,11032,2144,1382,2000
CruSal,7583,7160,800,2728
CruBra,7605,7498,637,3011
CruCsa,350,15059,57,3679
CruAar,12023,1485,1834,1382
TarSal,6097,6081,1193,2908
TarBra,5978,6361,1091,3076
TarCsa,220,12295,78,4143
TarAar,9784,1412,2541,1268
SalBra,6734,1741,1339,8667
SalCsa,231,8245,124,9817
SalAar,6524,779,7085,2057
BraCsa,218,8055,159,10360
BraAar,6424,683,7384,2185
CsaAar,196,28,13724,2860
