SpPair,one:one,1:M,M:1,M:M
AthChi,17084,562,728,1255
AthCru,17464,660,559,1488
AthTar,14103,522,935,830
AthSal,10540,6120,543,1326
AthBra,10710,6598,514,1455
AthCsa,1170,17059,99,1969
AthAar,14074,537,876,674
ChiCru,16800,814,542,1220
ChiTar,13974,552,820,756
ChiSal,10410,6165,486,1192
ChiBra,10567,6636,416,1321
ChiCsa,1072,16666,101,1700
ChiAar,13962,572,793,624
CruTar,13964,498,955,836
CruSal,10480,6071,571,1348
CruBra,10686,6568,550,1506
CruCsa,1255,17072,110,2110
CruAar,13939,524,886,677
TarSal,8939,5489,381,936
TarBra,9001,5857,338,1019
TarCsa,823,14260,71,1310
TarAar,12052,645,634,454
SalBra,10416,1899,1466,6069
SalCsa,718,10458,322,7130
SalAar,8670,317,5696,861
BraCsa,755,10502,349,7730
BraAar,8722,308,5984,890
CsaAar,712,44,14200,1177
