SpPair,one:one,1:M,M:1,M:M
AthChi,17195,523,706,1234
AthCru,17560,638,536,1454
AthTar,14186,518,904,817
AthSal,10553,6194,514,1294
AthBra,10737,6647,490,1425
AthCsa,1182,17103,92,1921
AthAar,14169,505,858,664
ChiCru,16928,789,503,1192
ChiTar,14048,540,797,747
ChiSal,10409,6233,465,1160
ChiBra,10587,6694,403,1283
ChiCsa,1086,16715,90,1652
ChiAar,14060,545,773,612
CruTar,14045,490,924,830
CruSal,10487,6157,557,1315
CruBra,10701,6631,544,1463
CruCsa,1255,17111,97,2061
CruAar,14028,506,881,658
TarSal,8933,5551,372,923
TarBra,9015,5896,332,1006
TarCsa,836,14291,63,1295
TarAar,12120,613,618,455
SalBra,10438,1857,1449,6132
SalCsa,715,10434,323,7176
SalAar,8674,312,5771,827
BraCsa,753,10492,352,7737
BraAar,8743,299,6042,863
CsaAar,714,38,14266,1137
