algorithm,SpeciesPair,numberOfExactOG,totalOG,proportionOfExactOG,meanJI,sdJI,seJI
OFb,AthChi,11778,20962,0.5618738669974239,0.64662515964199,0.4237894894987727,0.002927074816058036
OFb,AthCru,13051,20971,0.6223356063134805,0.6969913014045465,0.4098773579956901,0.002830377466489219
OFb,AthTar,8472,20952,0.4043528064146621,0.49808046921876103,0.44348649227792447,0.0030638510908215814
OFb,AthSal,6372,20978,0.3037467823434074,0.4697077058059411,0.394575322994757,0.0027242557747024173
OFb,AthBra,6634,20967,0.3164019649926074,0.49235864413772684,0.3887532298471197,0.0026847624355720813
OFb,AthCsa,922,20904,0.04410639112131649,0.30899086877868515,0.22952598884310388,0.0015875125553502837
OFb,AthAar,8783,20951,0.41921626652665744,0.5010256582076716,0.44857943764018676,0.0030991099452967754
OFb,ChiCru,11725,20906,0.5608437769061514,0.6405166977902784,0.428668701361537,0.0029647378794616873
OFb,ChiTar,8062,20883,0.3860556433462625,0.4776034525179751,0.44331817001309776,0.0030677438037398706
OFb,ChiSal,6089,20914,0.2911446877689586,0.4532046125937008,0.3964194121733118,0.002741172469230011
OFb,ChiBra,6288,20906,0.3007748971587104,0.47423928102695906,0.3898941555459607,0.002696567228389571
OFb,ChiCsa,934,20826,0.04484778642082013,0.3008555408952061,0.23516300342360916,0.0016295439049308262
OFb,ChiAar,8312,20893,0.39783659598908727,0.4803624251449886,0.44737817292731497,0.003095097891553834
OFb,CruTar,8451,20892,0.40450890292935093,0.4969996028818103,0.44420387636702036,0.003073210692475063
OFb,CruSal,6377,20914,0.30491536769628,0.47076267285594464,0.3948492642966991,0.0027303151650722893
OFb,CruBra,6726,20904,0.32175660160734787,0.49906014313888614,0.388284977688795,0.0026855663719903273
OFb,CruCsa,1055,20874,0.050541343297882534,0.33163588277723466,0.23665042783428783,0.001637964384710406
OFb,CruAar,8655,20900,0.41411483253588516,0.4972299419054838,0.4479167347929588,0.0030983048406395424
OFb,TarSal,5231,18027,0.29017584734010093,0.46744652832500483,0.3960485511399944,0.0029497601180409672
OFb,TarBra,5101,18004,0.28332592757165076,0.463100786247993,0.3897772769774423,0.002904905542001495
OFb,TarCsa,662,17908,0.036966718784900605,0.2688010365361759,0.22962940893753184,0.0017159473765844544
OFb,TarAar,6718,17992,0.3733881725211205,0.46781393522431175,0.43955435449841523,0.0032769730187056016
OFb,SalBra,7005,20883,0.33544031030024424,0.45709429106628663,0.41095720163288907,0.0028438072115887438
OFb,SalCsa,420,20763,0.020228290709435052,0.18943443010168623,0.18928248706988354,0.0013136067812233585
OFb,SalAar,5156,18201,0.28328113839898905,0.45989508706505655,0.3885414468274196,0.002879981700263811
OFb,BraCsa,507,21124,0.024001136148456732,0.1984430080379294,0.19716793150000195,0.001356588717656468
OFb,BraAar,5183,18184,0.28503079630444345,0.46328174969818037,0.3863117418114263,0.002864792672765142
OFb,CsaAar,563,18141,0.031034672840526984,0.25971173466147035,0.21749499092502655,0.0016147996537327666
OFd,AthChi,11909,21392,0.5567034405385191,0.6407416919041329,0.42680248208223076,0.0029181071952886265
OFd,AthCru,13314,21412,0.6218008593312161,0.693518463577002,0.4137129504986478,0.002827290920593113
OFd,AthTar,8524,21382,0.3986530726779534,0.4915405028184466,0.44435519193499856,0.0030388278386327787
OFd,AthSal,6415,21404,0.2997103345169127,0.46457743728255857,0.39573622270484715,0.002704944339824795
OFd,AthBra,6704,21401,0.313256389888323,0.4865972820845065,0.3909707120892145,0.002672558324407936
OFd,AthCsa,840,21370,0.039307440336920914,0.30072636323099583,0.22644925368367785,0.0015490614015371007
OFd,AthAar,8746,21380,0.4090739008419083,0.49171185549923946,0.44875809948738776,0.003069081700044768
OFd,ChiCru,11898,21361,0.5569963952998455,0.6345731626212127,0.43222079124378426,0.0029572964642370293
OFd,ChiTar,8091,21335,0.3792359971877197,0.4697996262202161,0.4438136975838543,0.0030384659809463573
OFd,ChiSal,6095,21358,0.2853731622811125,0.4459455605035626,0.39711288066581496,0.002717275561605651
OFd,ChiBra,6355,21364,0.2974630219060101,0.4682724563105956,0.391700892578193,0.002679867220399856
OFd,ChiCsa,902,21317,0.04231364638551391,0.294131698122609,0.2354097411866784,0.0016123576676616664
OFd,ChiAar,8277,21339,0.38788134401799523,0.4716876599653677,0.44701369410586983,0.003060087156353384
OFd,CruTar,8535,21337,0.40000937338894876,0.49123032594247723,0.44546505841649076,0.003049628697232362
OFd,CruSal,6405,21354,0.2999438044394493,0.4646499302285217,0.3959973665898582,0.0027098963416262614
OFd,CruBra,6789,21355,0.31791149613673614,0.49297433048169803,0.3904224652257546,0.0026716835195276832
OFd,CruCsa,980,21332,0.04594037127320458,0.3247372228518079,0.2345923936462717,0.0016061945171028916
OFd,CruAar,8632,21344,0.40442278860569714,0.4881258351505244,0.4482007826239835,0.003067854118999547
OFd,TarSal,5287,18347,0.288167002779746,0.4629146990047544,0.39732622504956444,0.0029333555088768893
OFd,TarBra,5112,18335,0.27881101718025636,0.4569339533464375,0.39068410982837065,0.0028852622295397977
OFd,TarCsa,614,18297,0.033557413783680386,0.2608331440934895,0.22777579057041594,0.0016839051246488985
OFd,TarAar,6671,18313,0.36427674329711135,0.4604608155258378,0.4385342456896733,0.0032405876005205873
OFd,SalBra,7208,21638,0.3331176633699972,0.4513211171479419,0.41387652469385927,0.0028135992234660377
OFd,SalCsa,351,21484,0.016337739713274995,0.18302368689467763,0.18542386458082744,0.0012650510647516926
OFd,SalAar,5170,18268,0.2830085395226626,0.45691946664909056,0.39016712467230213,0.002886723393327945
OFd,BraCsa,445,21857,0.020359610193530678,0.1927637767985141,0.1937570893654161,0.0013105763472108026
OFd,BraAar,5200,18255,0.28485346480416324,0.4596810902232872,0.3883132550087368,0.002874029997396864
