spPair_program2,All,one_anc,diff_anc,Total,PropOne,oriATgenes_diff,combAvg_diff,newTotalOG,oriTotal
"('AthChi', 'OFb')",26402,14931,11471,26402,0.5655253389894705,11471,6031,20962,11471
"('AthCru', 'OFb')",26411,15476,10935,26411,0.5859679678921661,10935,5495,20971,10935
"('AthTar', 'OFb')",26392,12513,13879,26392,0.47412094574113367,13879,8439,20952,13879
"('AthSal', 'OFb')",26418,14180,12238,26418,0.5367552426375956,12238,6798,20978,12238
"('AthBra', 'OFb')",26407,14761,11646,26407,0.5589805733328285,11646,6206,20967,11646
"('AthCsa', 'OFb')",26344,15624,10720,26344,0.5930762222897055,10720,5280,20904,10720
"('AthAar', 'OFb')",26391,12557,13834,26391,0.475806146034633,13834,8394,20951,13834
"('ChiCru', 'OFb')",28460,14413,14047,28460,0.5064300773014757,14047,6493,20906,14047
"('ChiTar', 'OFb')",28437,11905,16532,28437,0.41864472342370856,16532,8978,20883,16532
"('ChiSal', 'OFb')",28468,13436,15032,28468,0.47196852606435297,15032,7478,20914,15032
"('ChiBra', 'OFb')",28460,14059,14401,28460,0.49399156711173575,14401,6847,20906,14401
"('ChiCsa', 'OFb')",28380,14776,13604,28380,0.5206483439041578,13604,6050,20826,13604
"('ChiAar', 'OFb')",28447,11958,16489,28447,0.4203606707209899,16489,8935,20893,16489
"('CruTar', 'OFb')",27022,12420,14602,27022,0.4596254903412035,14602,8472,20892,14602
"('CruSal', 'OFb')",27044,14125,12919,27044,0.522296997485579,12919,6789,20914,12919
"('CruBra', 'OFb')",27034,14824,12210,27034,0.5483465265961383,12210,6080,20904,12210
"('CruCsa', 'OFb')",27004,15783,11221,27004,0.5844689675603614,11221,5091,20874,11221
"('CruAar', 'OFb')",27030,12468,14562,27030,0.46126526082130964,14562,8432,20900,14562
"('TarSal', 'OFb')",24906,11442,13464,24906,0.4594073717176584,13464,6585,18027,13464
"('TarBra', 'OFb')",24883,11732,13151,24883,0.47148655708716797,13151,6272,18004,13151
"('TarCsa', 'OFb')",24787,12000,12787,24787,0.48412474280873036,12787,5908,17908,12787
"('TarAar', 'OFb')",24871,10245,14626,24871,0.41192553576454505,14626,7747,17992,14626
"('SalBra', 'OFb')",38228,9674,28554,38228,0.25306058386522967,28554,11209,20883,28554
"('SalCsa', 'OFb')",38108,9073,29035,38108,0.23808649102550644,29035,11690,20763,29035
"('SalAar', 'OFb')",22165,12795,9370,22165,0.5772614482291901,9370,5406,18201,9370
"('BraCsa', 'OFb')",38718,8951,29767,38718,0.23118446200733508,29767,12173,21124,29767
"('BraAar', 'OFb')",22148,13040,9108,22148,0.5887664800433448,9108,5144,18184,9108
"('CsaAar', 'OFb')",22105,13267,8838,22105,0.6001809545351731,8838,4874,18141,8838
"('AthChi', 'OFd')",26414,15266,11148,26414,0.577951086545014,11148,6126,21392,11148
"('AthCru', 'OFd')",26434,15862,10572,26434,0.60006052810774,10572,5550,21412,10572
"('AthTar', 'OFd')",26404,12759,13645,26404,0.4832222390546887,13645,8623,21382,13645
"('AthSal', 'OFd')",26426,14497,11929,26426,0.5485885113146144,11929,6907,21404,11929
"('AthBra', 'OFd')",26423,15072,11351,26423,0.5704121409378193,11351,6329,21401,11351
"('AthCsa', 'OFd')",26392,15984,10408,26392,0.6056380721430736,10408,5386,21370,10408
"('AthAar', 'OFd')",26402,12752,13650,26402,0.4829937125975305,13650,8628,21380,13650
"('ChiCru', 'OFd')",28620,14730,13890,28620,0.5146750524109015,13890,6631,21361,13890
"('ChiTar', 'OFd')",28594,12135,16459,28594,0.42438973211163183,16459,9200,21335,16459
"('ChiSal', 'OFd')",28617,13708,14909,28617,0.47901596952860187,14909,7650,21358,14909
"('ChiBra', 'OFd')",28623,14372,14251,28623,0.5021136847989379,14251,6992,21364,14251
"('ChiCsa', 'OFd')",28576,15072,13504,28576,0.5274356103023516,13504,6245,21317,13504
