"","program...1","Ath","n...3","program...4","Chi","n...6","program...7","Cru","n...9","program...10","Tar","n...12","program...13","Aar","n...15"
"1","BR",0,787,"BR",0,1331,"BR",0,1008,"BR",0,4187,"BR",0,5179
"2","BR",1,18488,"BR",1,17614,"BR",1,18286,"BR",1,15481,"BR",1,14905
"3","BR",2,1707,"BR",2,1859,"BR",2,1607,"BR",2,1308,"BR",2,1113
"4","BR",3,322,"BR",3,390,"BR",3,329,"BR",3,315,"BR",3,216
"5","BR",4,127,"BR",4,163,"BR",4,134,"BR",4,122,"BR",4,87
"6","BR",5,54,"BR",5,78,"BR",5,79,"BR",5,69,"BR",5,36
"7","BR",6,43,"BR",6,39,"BR",6,50,"BR",6,40,"BR",6,22
"8","BR",7,30,"BR",7,42,"BR",7,33,"BR",7,21,"BR",7,22
"9","BR",8,19,"BR",8,31,"BR",8,18,"BR",8,19,"BR",8,9
"10","BR",9,17,"BR",9,13,"BR",9,18,"BR",9,18,"BR",9,14
"11","BR",10,58,"BR",10,92,"BR",10,90,"BR",10,72,"BR",10,49
"12","OF_blast",0,1004,"OF_blast",0,1434,"OF_blast",0,1279,"OF_blast",0,4629,"OF_blast",0,3996
"13","OF_blast",1,17367,"OF_blast",1,16500,"OF_blast",1,17048,"OF_blast",1,13603,"OF_blast",1,15786
"14","OF_blast",2,2250,"OF_blast",2,2374,"OF_blast",2,2207,"OF_blast",2,2180,"OF_blast",2,1301
"15","OF_blast",3,505,"OF_blast",3,586,"OF_blast",3,495,"OF_blast",3,620,"OF_blast",3,227
"16","OF_blast",4,191,"OF_blast",4,240,"OF_blast",4,202,"OF_blast",4,215,"OF_blast",4,85
"17","OF_blast",5,85,"OF_blast",5,134,"OF_blast",5,100,"OF_blast",5,107,"OF_blast",5,42
"18","OF_blast",6,45,"OF_blast",6,90,"OF_blast",6,64,"OF_blast",6,49,"OF_blast",6,30
"19","OF_blast",7,22,"OF_blast",7,47,"OF_blast",7,26,"OF_blast",7,37,"OF_blast",7,9
"20","OF_blast",8,17,"OF_blast",8,30,"OF_blast",8,30,"OF_blast",8,20,"OF_blast",8,11
"21","OF_blast",9,9,"OF_blast",9,25,"OF_blast",9,22,"OF_blast",9,12,"OF_blast",9,10
"22","OF_blast",10,38,"OF_blast",10,73,"OF_blast",10,60,"OF_blast",10,61,"OF_blast",10,36
"23","OF_diamond",0,1103,"OF_diamond",0,1471,"OF_diamond",0,1370,"OF_diamond",0,4662,"OF_diamond",0,4220
"24","OF_diamond",1,17667,"OF_diamond",1,16749,"OF_diamond",1,17360,"OF_diamond",1,13944,"OF_diamond",1,15843
"25","OF_diamond",2,2175,"OF_diamond",2,2412,"OF_diamond",2,2123,"OF_diamond",2,2128,"OF_diamond",2,1301
"26","OF_diamond",3,469,"OF_diamond",3,557,"OF_diamond",3,486,"OF_diamond",3,591,"OF_diamond",3,223
"27","OF_diamond",4,188,"OF_diamond",4,245,"OF_diamond",4,184,"OF_diamond",4,210,"OF_diamond",4,71
"28","OF_diamond",5,67,"OF_diamond",5,119,"OF_diamond",5,93,"OF_diamond",5,89,"OF_diamond",5,58
"29","OF_diamond",6,56,"OF_diamond",6,78,"OF_diamond",6,63,"OF_diamond",6,59,"OF_diamond",6,13
"30","OF_diamond",7,22,"OF_diamond",7,46,"OF_diamond",7,20,"OF_diamond",7,36,"OF_diamond",7,14
"31","OF_diamond",8,13,"OF_diamond",8,26,"OF_diamond",8,30,"OF_diamond",8,13,"OF_diamond",8,11
"32","OF_diamond",9,10,"OF_diamond",9,22,"OF_diamond",9,23,"OF_diamond",9,18,"OF_diamond",9,14
"33","OF_diamond",10,37,"OF_diamond",10,82,"OF_diamond",10,55,"OF_diamond",10,57,"OF_diamond",10,39
"34","OF_mmseqs",0,1022,"OF_mmseqs",0,1448,"OF_mmseqs",0,1312,"OF_mmseqs",0,4583,"OF_mmseqs",0,4057
"35","OF_mmseqs",1,17550,"OF_mmseqs",1,16600,"OF_mmseqs",1,17199,"OF_mmseqs",1,13818,"OF_mmseqs",1,15854
"36","OF_mmseqs",2,2220,"OF_mmseqs",2,2401,"OF_mmseqs",2,2171,"OF_mmseqs",2,2157,"OF_mmseqs",2,1304
