"","program...1","Aar","n...3","program...4","Ath","n...6","program...7","Bra","n...9","program...10","Chi","n...12","program...13","Cru","n...15","program...16","Csa","n...18","program...19","Sal","n...21","program...22","Tar","n...24"
"1","BR",0,7369,"BR",0,2721,"BR",0,2653,"BR",0,3267,"BR",0,2747,"BR",0,2585,"BR",0,3429,"BR",0,6085
"2","BR",1,15465,"BR",1,19426,"BR",1,11971,"BR",1,18484,"BR",1,19347,"BR",1,858,"BR",1,11726,"BR",1,16024
"3","BR",2,1035,"BR",2,1513,"BR",2,6576,"BR",2,1707,"BR",2,1473,"BR",2,1845,"BR",2,6293,"BR",2,1481
"4","BR",3,224,"BR",3,322,"BR",3,2262,"BR",3,406,"BR",3,342,"BR",3,14067,"BR",3,2042,"BR",3,350
"5","BR",4,81,"BR",4,114,"BR",4,362,"BR",4,171,"BR",4,143,"BR",4,2167,"BR",4,369,"BR",4,136
"6","BR",5,40,"BR",5,71,"BR",5,176,"BR",5,83,"BR",5,71,"BR",5,947,"BR",5,170,"BR",5,73
"7","BR",6,24,"BR",6,55,"BR",6,114,"BR",6,52,"BR",6,56,"BR",6,716,"BR",6,102,"BR",6,42
"8","BR",7,25,"BR",7,25,"BR",7,55,"BR",7,32,"BR",7,29,"BR",7,339,"BR",7,43,"BR",7,28
"9","BR",8,8,"BR",8,25,"BR",8,24,"BR",8,24,"BR",8,30,"BR",8,194,"BR",8,16,"BR",8,22
"10","BR",9,14,"BR",9,14,"BR",9,33,"BR",9,20,"BR",9,12,"BR",9,156,"BR",9,21,"BR",9,13
"11","BR",10,52,"BR",10,51,"BR",10,111,"BR",10,91,"BR",10,87,"BR",10,463,"BR",10,126,"BR",10,83
"12","OF_blast",0,6016,"OF_blast",0,3114,"OF_blast",0,3220,"OF_blast",0,3335,"OF_blast",0,3141,"OF_blast",0,2252,"OF_blast",0,3942,"OF_blast",0,6494
"13","OF_blast",1,16228,"OF_blast",1,17688,"OF_blast",1,10589,"OF_blast",1,16938,"OF_blast",1,17550,"OF_blast",1,2493,"OF_blast",1,10909,"OF_blast",1,14118
"14","OF_blast",2,1185,"OF_blast",2,2227,"OF_blast",2,6486,"OF_blast",2,2467,"OF_blast",2,2212,"OF_blast",2,3824,"OF_blast",2,6094,"OF_blast",2,2220
"15","OF_blast",3,218,"OF_blast",3,437,"OF_blast",3,2424,"OF_blast",3,540,"OF_blast",3,487,"OF_blast",3,11051,"OF_blast",3,2004,"OF_blast",3,572
"16","OF_blast",4,78,"OF_blast",4,178,"OF_blast",4,552,"OF_blast",4,240,"OF_blast",4,198,"OF_blast",4,1707,"OF_blast",4,469,"OF_blast",4,185
"17","OF_blast",5,42,"OF_blast",5,88,"OF_blast",5,273,"OF_blast",5,130,"OF_blast",5,95,"OF_blast",5,844,"OF_blast",5,190,"OF_blast",5,100
"18","OF_blast",6,30,"OF_blast",6,48,"OF_blast",6,114,"OF_blast",6,70,"OF_blast",6,59,"OF_blast",6,739,"OF_blast",6,78,"OF_blast",6,69
"19","OF_blast",7,12,"OF_blast",7,29,"OF_blast",7,46,"OF_blast",7,40,"OF_blast",7,33,"OF_blast",7,293,"OF_blast",7,42,"OF_blast",7,26
"20","OF_blast",8,14,"OF_blast",8,19,"OF_blast",8,42,"OF_blast",8,27,"OF_blast",8,26,"OF_blast",8,166,"OF_blast",8,32,"OF_blast",8,17
"21","OF_blast",9,10,"OF_blast",9,14,"OF_blast",9,29,"OF_blast",9,21,"OF_blast",9,23,"OF_blast",9,118,"OF_blast",9,13,"OF_blast",9,16
"22","OF_blast",10,47,"OF_blast",10,38,"OF_blast",10,105,"OF_blast",10,72,"OF_blast",10,56,"OF_blast",10,393,"OF_blast",10,107,"OF_blast",10,63
"23","OF_diamond",0,6982,"OF_diamond",0,3676,"OF_diamond",0,3646,"OF_diamond",0,3862,"OF_diamond",0,3708,"OF_diamond",0,2636,"OF_diamond",0,4374,"OF_diamond",0,7090
"24","OF_diamond",1,16183,"OF_diamond",1,18313,"OF_diamond",1,11392,"OF_diamond",1,17543,"OF_diamond",1,18206,"OF_diamond",1,3176,"OF_diamond",1,11681,"OF_diamond",1,14608
"25","OF_diamond",2,1268,"OF_diamond",2,2081,"OF_diamond",2,6585,"OF_diamond",2,2311,"OF_diamond",2,2022,"OF_diamond",2,4547,"OF_diamond",2,6146,"OF_diamond",2,2165
"26","OF_diamond",3,219,"OF_diamond",3,415,"OF_diamond",3,2232,"OF_diamond",3,539,"OF_diamond",3,457,"OF_diamond",3,11126,"OF_diamond",3,1875,"OF_diamond",3,546
"27","OF_diamond",4,73,"OF_diamond",4,170,"OF_diamond",4,464,"OF_diamond",4,232,"OF_diamond",4,193,"OF_diamond",4,1337,"OF_diamond",4,374,"OF_diamond",4,182
"28","OF_diamond",5,45,"OF_diamond",5,78,"OF_diamond",5,251,"OF_diamond",5,143,"OF_diamond",5,103,"OF_diamond",5,729,"OF_diamond",5,170,"OF_diamond",5,93
"29","OF_diamond",6,27,"OF_diamond",6,46,"OF_diamond",6,98,"OF_diamond",6,67,"OF_diamond",6,55,"OF_diamond",6,550,"OF_diamond",6,76,"OF_diamond",6,51
"30","OF_diamond",7,14,"OF_diamond",7,25,"OF_diamond",7,48,"OF_diamond",7,48,"OF_diamond",7,29,"OF_diamond",7,201,"OF_diamond",7,37,"OF_diamond",7,42
"31","OF_diamond",8,15,"OF_diamond",8,21,"OF_diamond",8,33,"OF_diamond",8,34,"OF_diamond",8,26,"OF_diamond",8,144,"OF_diamond",8,22,"OF_diamond",8,21
"32","OF_diamond",9,13,"OF_diamond",9,18,"OF_diamond",9,32,"OF_diamond",9,13,"OF_diamond",9,23,"OF_diamond",9,100,"OF_diamond",9,15,"OF_diamond",9,13
"33","OF_diamond",10,36,"OF_diamond",10,32,"OF_diamond",10,94,"OF_diamond",10,83,"OF_diamond",10,53,"OF_diamond",10,329,"OF_diamond",10,105,"OF_diamond",10,64
"34","OF_mmseqs",0,6325,"OF_mmseqs",0,3221,"OF_mmseqs",0,3333,"OF_mmseqs",0,3435,"OF_mmseqs",0,3297,"OF_mmseqs",0,2337,"OF_mmseqs",0,4076,"OF_mmseqs",0,6616
