#OG_name	Cru.fasta	Ath.fasta	Aar.fasta	Chi.fasta	Tar.fasta
OG_1	Carub.0007s2402.1.p Carub.0007s2467.1.p	AT4G17390.1 AT4G16720.1	Aa31LG6G130 Aa31LG9G12170 Aa31LG2G12900	CARHR223250.1 CARHR224000.1	gene-TAV2_LOCUS9490 gene-TAV2_LOCUS23435
OG_2	Carub.0007s2853.1.p Carub.0003s2412.1.p	AT4G13940.1 AT3G23810.1	Aa31LG8G10390 Aa31LG9G3630	CARHR099810.1 CARHR219830.1	gene-TAV2_LOCUS24979 gene-TAV2_LOCUS9479
OG_3	Carub.0002s1197.1.p Carub.0005s0298.1.p	AT2G03820.1	Aa31LG2G18270 Aa31LG2G2740	CARHR057990.1	
OG_4	Carub.0007s3268.1.p	AT5G37510.2	Aa31LG9G17520 Aa31LG9G17530	CARHR215400.1	gene-TAV2_LOCUS924 gene-TAV2_LOCUS24266
OG_5	Carub.0008s1917.1.p	AT5G58570.1	Aa31LG11G340 Aa31LG11G330	CARHR272400.1	
OG_6	Carub.0003s1246.1.p	AT3G13120.1	Aa31LG8G330 Aa31LG10G250	CARHR087710.1	gene-TAV2_LOCUS10292
OG_7	Carub.0003s2281.1.p	AT3G22660.1	Aa31LG5G22190 Aa31LG5G22200	CARHR098540.1	
OG_8	Carub.0001s1490.1.p	AT1G15130.1	Aa31LG1G30	CARHR015650.1	gene-TAV2_LOCUS1083
OG_9	Carub.0001s1460.1.p	AT1G14810.1	Aa31LG1G290	CARHR015340.1	gene-TAV2_LOCUS524
OG_10	Carub.0001s1415.1.p	AT1G14440.1	Aa31LG1G620	CARHR014890.1	
OG_11	Carub.0001s1403.1.p	AT1G14345.1	Aa31LG1G700	CARHR014780.1	gene-TAV2_LOCUS3576
OG_12	Carub.0001s1398.1.p	AT1G14300.2	Aa31LG1G750	CARHR014720.1	gene-TAV2_LOCUS1961
OG_13	Carub.0001s1368.1.p	AT1G13990.3	Aa31LG1G1040	CARHR014360.1	gene-TAV2_LOCUS1439
OG_14	Carub.0001s1340.1.p Carub.0001s1341.1.p	AT1G13670.1 AT1G13680.1	Aa31LG1G1250 Aa31LG1G1240	CARHR014070.1	gene-TAV2_LOCUS769
OG_15	Carub.0001s1279.1.p	AT1G13040.2	Aa31LG1G1760	CARHR013370.1	gene-TAV2_LOCUS978
OG_16	Carub.0001s1278.1.p	AT1G13030.1	Aa31LG1G1770	CARHR013360.1	gene-TAV2_LOCUS977
OG_17	Carub.0001s1258.1.p	AT1G12840.1	Aa31LG1G1920	CARHR013160.1	gene-TAV2_LOCUS4097
OG_18	Carub.0001s1257.1.p	AT1G12830.1	Aa31LG1G1930	CARHR013150.1	gene-TAV2_LOCUS4100
