group_id	Aar.fa	Ath.fa	Chi.fa	Cru.fa	Tar.fa
1	Aa31LG1G6950,Aa31LG10G2910,Aa31LG10G2920,Aa31LG10G2950,Aa31LG10G2970,Aa31LG10G2980,Aa31LG10G2990,Aa31LG10G3000,Aa31LG10G3010,Aa31LG10G3020,Aa31LG3G1140,Aa31LG4G15410,Aa31LG4G15420,Aa31LG4G15450,Aa31LG4G15470,Aa31LG5G7220,Aa31LG5G7230,Aa31LG5G7260,Aa31LG5G7270,Aa31sc13G10,Aa31sc13G40,Aa31sc23G270	AT2G19190.1,AT2G28960.2,AT2G28970.1,AT2G04300.2,AT2G28990.2,AT2G19230.1,AT2G14440.1,AT2G29000.1,AT2G14510.2,AT4G29990.1,AT4G20450.1,AT1G51810.1,AT1G51805.1,AT1G51850.2,AT1G51790.2,AT1G51910.1,AT1G49100.1,AT1G51860.1,AT1G51870.2,AT1G51890.2,AT1G51820.1,AT1G51830.2,AT1G51800.1,AT1G51840.2,AT1G07550.1,AT1G51880.3,AT1G05700.2,AT1G07560.1,AT3G46330.1,AT3G46400.1,AT3G46370.2,AT3G46340.1,AT3G21340.1,AT3G46420.1,AT5G59680.1,AT5G16900.1,AT5G59650.2,AT5G59660.3,AT5G59670.2	CARHR007320.1,CARHR007330.1,CARHR007340.1,CARHR007350.1,CARHR039100.1,CARHR041940.1,CARHR041950.1,CARHR041960.1,CARHR041970.1,CARHR041980.1,CARHR041990.1,CARHR042000.1,CARHR042010.1,CARHR042030.1,CARHR042040.1,CARHR054170.1,CARHR097260.1,CARHR102140.1,CARHR108900.1,CARHR109670.1,CARHR109680.1,CARHR122140.1,CARHR122150.1,CARHR122160.1,CARHR122190.1,CARHR122230.1,CARHR122240.1,CARHR154780.1,CARHR154790.1,CARHR154800.1,CARHR154820.1,CARHR154830.1,CARHR154840.1,CARHR165420.1,CARHR196260.1,CARHR258870.1,CARHR273130.1,CARHR273170.1,CARHR273210.1,CARHR273220.1,CARHR273230.1,CARHR273240.1,CARHR273250.1	Carub.0005s1220.1.p,Carub.0005s1221.1.p,Carub.0005s1218.1.p,Carub.0005s1219.1.p,Carub.0001s4079.1.p,Carub.0001s4069.1.p,Carub.0001s0688.1.p,Carub.0001s4076.1.p,Carub.0001s3825.1.p,Carub.0001s4074.1.p,Carub.0001s4068.1.p,Carub.0001s4075.1.p,Carub.0001s0505.1.p,Carub.0001s0687.1.p,Carub.0001s4078.1.p,Carub.0001s0689.1.p,Carub.0001s4081.1.p,Carub.0004s0997.1.p,Carub.0004s0996.1.p,Carub.0004s0998.1.p,Carub.0004s1000.1.p,Carub.0004s0999.1.p,Carub.0004s0995.1.p,Carub.0003s2137.1.p,Carub.0002s1143.1.p,Carub.0008s2032.1.p,Carub.0008s2031.1.p,Carub.0008s2030.1.p	gene-TAV2_LOCUS1411,gene-TAV2_LOCUS1078,gene-TAV2_LOCUS1473,gene-TAV2_LOCUS3001,gene-TAV2_LOCUS2996,gene-TAV2_LOCUS2997,gene-TAV2_LOCUS454,gene-TAV2_LOCUS456,gene-TAV2_LOCUS8853,gene-TAV2_LOCUS14828,gene-TAV2_LOCUS13816,gene-TAV2_LOCUS13817,gene-TAV2_LOCUS13814,gene-TAV2_LOCUS17067,gene-TAV2_LOCUS20699,gene-TAV2_LOCUS20708
2	Aa31LG1G6300,Aa31LG1G6310,Aa31LG1G6340,Aa31LG11G6130,Aa31LG11G6190,Aa31LG11G6200,Aa31LG11G6230,Aa31LG11G6240,Aa31LG11G6250,Aa31LG11G6260,Aa31LG11G6290,Aa31LG11G6320,Aa31LG11G6350,Aa31LG4G2970,Aa31LG4G2980,Aa31LG4G6600,Aa31LG4G10940,Aa31LG5G23860,Aa31LG6G10430,Aa31LG6G10470,Aa31LG6G10550,Aa31LG6G10610,Aa31LG6G10630,Aa31LG6G10760,Aa31LG6G10790,Aa31LG6G10800,Aa31LG6G10810,Aa31LG6G10820,Aa31LG6G10840,Aa31LG6G10870,Aa31LG6G12080,Aa31LG6G12090,Aa31LG6G12100,Aa31LG6G12110,Aa31LG6G12150,Aa31LG6G12170,Aa31LG6G12190,Aa31LG6G12200,Aa31LG7G11320,Aa31LG7G11450,Aa31LG7G12730,Aa31LG7G12760,Aa31LG8G12550,Aa31sc276G50	AT2G23160.1,AT2G02660.1,AT2G16220.1,AT2G02890.1,AT2G15640.1,AT2G16450.1,AT1G47350.1,AT1G31080.1,AT1G30930.1,AT1G47340.1,AT1G53360.2,AT1G33020.1,AT1G30925.1,AT1G30920.1,AT3G57590.1,AT5G52620.1,AT5G42430.1	CARHR031540.1,CARHR041530.1,CARHR043700.1,CARHR043710.1,CARHR044030.1,CARHR112760.1,CARHR113190.1,CARHR148710.1,CARHR174240.1,CARHR213730.1,CARHR219450.1,CARHR219990.1,CARHR265610.1,CARHR288800.1	Carub.0005s0876.1.p,Carub.0001s3228.1.p,Carub.0001s3225.1.p,Carub.0001s3230.1.p,Carub.0001s3824.1.p,Carub.0001s3224.1.p,Carub.0001s2932.1.p,Carub.0001s2943.1.p,Carub.0001s2931.1.p,Carub.0001s4256.1.p,Carub.0001s4310.1.p,Carub.0001s2944.1.p,Carub.0001s2930.1.p,Carub.0001s3614.1.p,Carub.0001s4254.1.p,Carub.0001s3226.1.p,Carub.0001s3612.1.p,Carub.0001s2948.1.p,Carub.0001s3227.1.p,Carub.0004s0867.1.p,Carub.0004s0542.1.p,Carub.0002s0685.1.p	gene-TAV2_LOCUS2229,gene-TAV2_LOCUS1793,gene-TAV2_LOCUS2189,gene-TAV2_LOCUS1671,gene-TAV2_LOCUS1668,gene-TAV2_LOCUS3803,gene-TAV2_LOCUS3250,gene-TAV2_LOCUS639,gene-TAV2_LOCUS3734
3	Aa31LG3G3600,Aa31LG3G3620,Aa31LG3G3630,Aa31LG5G4190,Aa31sc351G50	AT2G15080.1,AT2G32680.1,AT2G15042.1,AT2G25440.1,AT2G33020.1,AT2G33080.1,AT2G33060.1,AT2G33050.1,AT2G32660.2,AT4G13820.1,AT4G13920.1,AT4G13880.1,AT4G13810.2,AT1G45616.1,AT1G47890.1,AT3G05660.1,AT3G25010.2,AT3G05370.1,AT3G11080.1,AT3G11010.2,AT3G05650.1,AT3G24982.1,AT3G24900.2,AT3G28890.2,AT3G25020.1,AT5G27060.2,AT5G25910.1,AT5G40170.1	CARHR039350.1,CARHR080100.1,CARHR085660.1,CARHR105510.1,CARHR105520.1,CARHR105540.1,CARHR118040.1,CARHR118080.1,CARHR126060.1,CARHR126520.1,CARHR126550.1,CARHR126570.1,CARHR126770.1,CARHR126970.1,CARHR126990.1,CARHR127010.1,CARHR127090.1,CARHR127300.1,CARHR175550.1,CARHR219700.1,CARHR219720.1,CARHR253920.1,CARHR262160.1,CARHR286630.1	Carub.0005s1023.1.p,Carub.0001s3650.1.p,Carub.0001s3699.1.p,Carub.0001s3657.1.p,Carub.0001s3297.1.p,Carub.0001s3648.1.p,Carub.0001s3654.1.p,Carub.0001s0431.1.p,Carub.0007s2865.1.p,Carub.0007s2856.1.p,Carub.0007s2864.1.p,Carub.0007s2862.1.p,Carub.0007s2855.1.p,Carub.0007s3548.1.p,Carub.0007s2863.1.p,Carub.0004s1403.1.p,Carub.0004s1400.1.p,Carub.0004s0341.1.p,Carub.0004s0334.1.p,Carub.0004s0339.1.p,Carub.0004s1404.1.p,Carub.0004s0335.1.p,Carub.0004s1453.1.p,Carub.0003s2530.1.p,Carub.0003s2713.1.p,Carub.0003s1030.1.p,Carub.0003s2531.1.p,Carub.0003s1037.1.p,Carub.0003s0498.1.p,Carub.0003s2902.1.p,Carub.0003s2529.1.p,Carub.0003s2532.1.p,Carub.0003s2900.1.p,Carub.0003s2534.1.p,Carub.0003s2899.1.p,Carub.0006s2366.1.p,Carub.0148s0001.1.p,Carub.0015s0020.1.p	gene-TAV2_LOCUS4804,gene-TAV2_LOCUS14192,gene-TAV2_LOCUS14195,gene-TAV2_LOCUS14606,gene-TAV2_LOCUS15016,gene-TAV2_LOCUS15028,gene-TAV2_LOCUS13591,gene-TAV2_LOCUS18384
4	Aa31LG1G4180,Aa31LG1G4840,Aa31LG1G4960,Aa31LG1G5990,Aa31LG1G13000,Aa31LG10G10270,Aa31LG11G8620,Aa31LG11G9560,Aa31LG2G6440,Aa31LG2G12260,Aa31LG2G16130,Aa31LG2G17780,Aa31LG2G18830,Aa31LG2G18910,Aa31LG2G19430,Aa31LG2G19820,Aa31LG3G3870,Aa31LG3G7040,Aa31LG3G12250,Aa31LG4G19050,Aa31LG5G21780,Aa31LG6G6890,Aa31LG7G3480,Aa31LG7G10790,Aa31LG7G12700,Aa31LG7G13940,Aa31LG8G10420,Aa31LG8G10880,Aa31LG8G12700,Aa31LG8G16480,Aa31LG9G1250,Aa31LG9G1700,Aa31LG9G3130,Aa31LG9G5080,Aa31LG9G6690,Aa31LG9G9420,Aa31sc113G10,Aa31sc1234G10,Aa31sc142G30,Aa31sc149G70,Aa31sc1594G10,Aa31sc174G40,Aa31sc180G30,Aa31sc188G10,Aa31sc200G60,Aa31sc214G50,Aa31sc25G50,Aa31sc314G40,Aa31sc320G60,Aa31sc324G40,Aa31sc387G30,Aa31sc407G40,Aa31sc434G50,Aa31sc466G10,Aa31sc502G20,Aa31sc51G20,Aa31sc74G100,Aa31sc85G20,Aa31sc98G30	AT2G02650.1,AT2G04420.1,AT2G46460.1,AT1G10000.1,AT1G77815.1,AT1G27870.1,AT1G04625.1,AT3G25270.1,AT3G09510.1	CARHR043800.1,CARHR122740.1,CARHR123710.1,CARHR166210.1,CARHR182430.1,CARHR219240.1	Carub.0007s3612.1.p,Carub.0007s3152.1.p,Carub.0004s1022.1.p,Carub.0002s0963.1.p	gene-TAV2_LOCUS13855,gene-TAV2_LOCUS14639,gene-TAV2_LOCUS15267,gene-TAV2_LOCUS16542,gene-TAV2_LOCUS20248,gene-TAV2_LOCUS20595,gene-TAV2_LOCUS19894
5	Aa31LG1G4950,Aa31LG1G7790,Aa31LG1G7830,Aa31LG1G9560,Aa31LG10G11540,Aa31LG11G8260,Aa31LG11G8630,Aa31LG2G18120,Aa31LG2G19810,Aa31LG3G3240,Aa31LG3G6220,Aa31LG4G12870,Aa31LG6G9170,Aa31LG7G10450,Aa31LG7G14920,Aa31LG8G8800,Aa31LG8G12070,Aa31LG9G3350,Aa31csc1938G10,Aa31sc1015G10,Aa31sc111G10,Aa31sc147G30,Aa31sc163G10,Aa31sc168G20,Aa31sc222G80,Aa31sc387G10,Aa31sc441G30,Aa31sc62G40,Aa31sc64G60,Aa31sc914G60,Aa31sc917G10	AT2G02103.1,AT2G13510.1,AT2G17920.1,AT2G41590.1,AT2G17905.1,AT2G13500.1,AT2G16676.1,AT2G13450.1,AT4G02000.1,AT1G43680.1,AT3G31430.1,AT3G57587.1,AT3G47920.1,AT5G36228.1,AT5G18636.1,AT5G25600.1,AT5G25200.1	CARHR125790.1,CARHR150970.1,CARHR180340.1,CARHR292290.1	Carub.0001s1088.1.p,Carub.0007s3143.1.p,Carub.0007s3157.1.p,Carub.0004s2922.1.p,Carub.0004s0523.1.p,Carub.0003s2750.1.p,Carub.0003s2772.1.p,Carub.0024s0015.1.p,Carub.0008s0594.1.p,Carub.0008s1966.1.p,Carub.0008s0689.1.p,Carub.0008s1087.1.p	gene-TAV2_LOCUS307,gene-TAV2_LOCUS7504,gene-TAV2_LOCUS9504,gene-TAV2_LOCUS11098,gene-TAV2_LOCUS9323,gene-TAV2_LOCUS14257,gene-TAV2_LOCUS13045,gene-TAV2_LOCUS19674,gene-TAV2_LOCUS18847,gene-TAV2_LOCUS18745,gene-TAV2_LOCUS24672,gene-TAV2_LOCUS24678,gene-TAV2_LOCUS24680,gene-TAV2_LOCUS24902
6	Aa31LG2G3340,Aa31LG3G6790,Aa31LG9G17150,Aa31LG9G17180	AT4G18250.1,AT1G66880.1,AT1G67000.1,AT1G66910.1,AT1G70250.1,AT1G66930.2,AT1G66920.2,AT5G38240.1,AT5G38250.1,AT5G39020.1,AT5G38280.2,AT5G39030.1,AT5G38260.1	CARHR059020.1,CARHR059070.1,CARHR059080.1,CARHR059140.1,CARHR059160.1,CARHR059200.1,CARHR059250.1,CARHR059260.1,CARHR059270.1,CARHR059360.1,CARHR063370.1,CARHR138710.1,CARHR214310.1,CARHR214320.1,CARHR214340.1,CARHR214350.1,CARHR214380.1,CARHR214400.1,CARHR214430.1,CARHR225000.1,CARHR225010.1,CARHR257300.1,CARHR257310.1,CARHR263410.1,CARHR263420.1,CARHR263450.1	Carub.0120s0001.1.p,Carub.0005s1271.1.p,Carub.0005s1270.1.p,Carub.0005s1263.1.p,Carub.0005s1269.1.p,Carub.0005s1268.1.p,Carub.0005s1261.1.p,Carub.0005s1272.1.p,Carub.0001s3241.1.p,Carub.0001s3353.1.p,Carub.0007s2306.1.p,Carub.0007s2307.1.p,Carub.0007s2308.1.p,Carub.0007s3683.1.p,Carub.0007s2305.1.p,Carub.0004s2607.1.p,Carub.0002s1320.1.p,Carub.0002s1319.1.p,Carub.0002s1317.1.p,Carub.0002s1316.1.p,Carub.0002s1326.1.p,Carub.0002s1310.1.p,Carub.0002s1315.1.p,Carub.0002s1321.1.p,Carub.0002s1318.1.p	gene-TAV2_LOCUS14543,gene-TAV2_LOCUS17352,gene-TAV2_LOCUS15323,gene-TAV2_LOCUS23239,gene-TAV2_LOCUS23098,gene-TAV2_LOCUS23181,gene-TAV2_LOCUS23099
7	Aa31LG1G3610,Aa31LG1G6930,Aa31LG10G6700,Aa31LG10G10430,Aa31LG10G13150,Aa31LG11G8450,Aa31LG11G8470,Aa31LG2G16260,Aa31LG3G1850,Aa31LG5G20540,Aa31LG5G23320,Aa31LG6G5080,Aa31LG6G12780,Aa31LG8G11960,Aa31LG8G12130,Aa31LG8G12140,Aa31LG9G6340,Aa31sc112G30,Aa31sc112G50,Aa31sc119G60,Aa31sc119G70,Aa31sc119G80,Aa31sc154G10,Aa31sc251G20,Aa31sc478G30,Aa31sc478G40,Aa31sc86G90	AT4G08430.1,AT1G37020.1,AT3G30305.1,AT5G28235.1,AT5G45570.2	CARHR033910.1,CARHR037550.1,CARHR057390.1,CARHR104690.1,CARHR107370.1,CARHR116100.1,CARHR116190.1,CARHR117480.1,CARHR118760.1,CARHR150330.1,CARHR152970.1,CARHR153270.1,CARHR159300.1,CARHR183570.1,CARHR187300.1,CARHR215510.1,CARHR254680.1,CARHR258020.1,CARHR284370.1,CARHR286710.1	Carub.0005s0341.1.p,Carub.0005s0342.1.p,Carub.0001s3503.1.p,Carub.0027s0004.1.p,Carub.0261s0001.1.p,Carub.0007s0716.1.p,Carub.0004s0691.1.p,Carub.0004s0714.1.p,Carub.0003s3058.1.p,Carub.0002s0992.1.p,Carub.0006s2635.1.p,Carub.0006s2660.1.p,Carub.0006s2619.1.p,Carub.0006s2659.1.p,Carub.0013s0001.1.p,Carub.0008s0707.1.p,Carub.0008s0635.1.p,Carub.0008s2148.1.p	gene-TAV2_LOCUS3078,gene-TAV2_LOCUS3081,gene-TAV2_LOCUS19138
8	Aa31LG11G3760,Aa31LG11G3770,Aa31LG11G3780,Aa31LG6G10280,Aa31sc338G20,Aa31sc424G10,Aa31sc555G30	AT4G07515.1,AT4G08025.1,AT1G45223.1,AT1G45215.1,AT1G57760.1,AT1G57777.1,AT1G57775.1,AT1G45221.1,AT3G30387.1,AT3G44115.1,AT3G30385.1,AT3G30383.1,AT5G42957.1,AT5G34883.1,AT5G34882.1,AT5G42955.1,AT5G34881.1,AT5G34885.1,AT5G42567.1,AT5G34905.1,AT5G34887.1	CARHR050760.1,CARHR054410.1,CARHR054420.1,CARHR201430.1,CARHR201440.1,CARHR250740.1,CARHR250760.1,CARHR273290.1,CARHR289690.1,CARHR289710.1,CARHR289730.1	Carub.0001s3190.1.p,Carub.0002s0879.1.p,Carub.0002s0880.1.p,Carub.0002s0887.1.p,Carub.0002s0927.1.p,Carub.0002s0884.1.p,Carub.0002s0924.1.p,Carub.0002s0806.1.p,Carub.0002s0931.1.p,Carub.0002s0885.1.p,Carub.0002s0809.1.p,Carub.0002s0930.1.p,Carub.0002s0807.1.p,Carub.0002s0882.1.p,Carub.0002s0921.1.p,Carub.0002s0925.1.p,Carub.0002s0878.1.p,Carub.0002s0805.1.p,Carub.0002s0926.1.p,Carub.0002s0923.1.p,Carub.0046s0006.1.p,Carub.0046s0001.1.p,Carub.0046s0007.1.p,Carub.0046s0002.1.p,Carub.0008s0580.1.p	*
9	*	AT2G27520.1,AT2G17830.1,AT4G17200.1,AT1G62270.1,AT1G65990.1,AT3G17320.1,AT3G49980.2,AT3G17620.1,AT3G17570.1,AT3G16740.1,AT5G36730.1,AT5G36200.1,AT5G36820.1	CARHR078400.1,CARHR092560.1,CARHR092620.1,CARHR092630.1,CARHR108320.1,CARHR135370.1	Carub.0005s1634.1.p,Carub.0005s2337.1.p,Carub.0001s3510.1.p,Carub.0001s1047.1.p,Carub.0001s3652.1.p,Carub.0007s3401.1.p,Carub.0004s0830.1.p,Carub.0004s0845.1.p,Carub.0004s0386.1.p,Carub.0004s0861.1.p,Carub.0004s0842.1.p,Carub.0004s0385.1.p,Carub.0003s1761.1.p,Carub.0003s1724.1.p,Carub.0003s1866.1.p,Carub.0003s1703.1.p,Carub.0003s3197.1.p,Carub.0003s2043.1.p,Carub.0003s2294.1.p,Carub.0003s1727.1.p,Carub.0003s2631.1.p,Carub.0003s2666.1.p,Carub.0003s1362.1.p,Carub.0003s1313.1.p,Carub.0003s2632.1.p,Carub.0003s2633.1.p,Carub.0003s1721.1.p,Carub.0003s1975.1.p,Carub.0003s1995.1.p,Carub.0003s1760.1.p,Carub.0003s2398.1.p,Carub.0002s0302.1.p,Carub.0002s0522.1.p,Carub.0002s1194.1.p,Carub.0002s0645.1.p,Carub.0002s0781.1.p,Carub.0002s0273.1.p,Carub.0006s3223.1.p,Carub.0006s2772.1.p,Carub.0006s2841.1.p,Carub.0006s2952.1.p,Carub.0006s2951.1.p,Carub.0008s1500.1.p	gene-TAV2_LOCUS13218,gene-TAV2_LOCUS25847
10	Aa31LG3G6500,Aa31LG3G6510,Aa31LG6G11260,Aa31LG6G12340,Aa31LG6G12360,Aa31LG9G3380,Aa31LG9G3390,Aa31LG9G3400,Aa31LG9G3410,Aa31LG9G3420,Aa31LG9G3430,Aa31LG9G3440,Aa31LG9G3450,Aa31LG9G3500,Aa31LG9G3510,Aa31LG9G3560,Aa31LG9G3570,Aa31LG9G3580,Aa31LG9G6530,Aa31sc111G70,Aa31sc54G40	AT2G23010.1,AT2G22920.2,AT2G22980.4,AT2G22970.3,AT2G23000.1,AT1G73300.1,AT1G73290.1,AT1G73310.1,AT1G73280.1,AT1G33540.1,AT1G73270.1,AT3G10450.1,AT3G12240.1,AT3G12230.1,AT3G12220.1,AT5G36180.1	CARHR032990.1,CARHR086790.1,CARHR292750.1,CARHR292760.1	Carub.0001s3173.1.p,Carub.0004s0217.1.p,Carub.0004s0222.1.p,Carub.0004s0219.1.p,Carub.0004s0215.1.p,Carub.0004s0218.1.p,Carub.0004s0220.1.p,Carub.0004s0221.1.p,Carub.0003s2578.1.p,Carub.0003s1717.1.p,Carub.0003s1159.1.p,Carub.0003s0966.1.p,Carub.0002s2006.1.p	gene-TAV2_LOCUS609,gene-TAV2_LOCUS11557,gene-TAV2_LOCUS10371,gene-TAV2_LOCUS12934,gene-TAV2_LOCUS12933,gene-TAV2_LOCUS17184
