HOG	OG	Gene Tree Parent Clade	Aar	Ath	Chi	Cru	Tar
N0.HOG0000000	OG0000000	n1	Aa31LG10G3000, Aa31LG10G3010	AT1G51800.1	CARHR041950.1	Carub.0001s4069.1.p	gene-TAV2_LOCUS1473
N0.HOG0000001	OG0000000	n7	Aa31LG10G3020		CARHR041940.1	Carub.0001s4068.1.p	gene-TAV2_LOCUS1078
N0.HOG0000002	OG0000000	n12	Aa31LG10G2920, Aa31LG10G2950	AT1G51890.2, AT1G51860.1, AT1G51870.2, AT1G51880.3	CARHR042010.1, CARHR041990.1, CARHR042000.1	Carub.0001s4079.1.p, Carub.0001s4076.1.p	
N0.HOG0000003	OG0000000	n22	Aa31LG10G2910	AT1G51910.1	CARHR042030.1, CARHR042040.1		
N0.HOG0000004	OG0000000	n28		AT3G21340.1, AT2G04300.2	CARHR097260.1, CARHR102140.1	Carub.0003s2137.1.p, Carub.0002s1143.1.p	
N0.HOG0000005	OG0000000	n34	Aa31LG10G2970	AT1G51805.1, AT1G51830.2, AT1G51850.2, AT1G51820.1	CARHR041970.1, CARHR041980.1	Carub.0001s4075.1.p, Carub.0001s4074.1.p	
N0.HOG0000006	OG0000000	n43	Aa31LG10G2990	AT1G51810.1	CARHR258870.1		
N0.HOG0000007	OG0000000	n45	Aa31LG10G2980		CARHR041960.1		
N0.HOG0000008	OG0000000	n46	Aa31LG3G1140	AT1G49100.1	CARHR039100.1	Carub.0001s3825.1.p	
N0.HOG0000009	OG0000000	n51	Aa31LG5G7260	AT2G28990.2	CARHR122150.1, CARHR122160.1	Carub.0004s0998.1.p	
N0.HOG0000010	OG0000000	n55	Aa31LG5G7230	AT2G28970.1		Carub.0004s0996.1.p	
N0.HOG0000011	OG0000000	n60	Aa31LG2G8860		CARHR050010.1		
N0.HOG0000012	OG0000000	n62		AT4G20450.1	CARHR108900.1		
N0.HOG0000013	OG0000000	n64			CARHR122240.1	Carub.0004s1000.1.p	
N0.HOG0000014	OG0000000	n66	Aa31LG5G7270	AT2G28960.2	CARHR122190.1, CARHR122140.1	Carub.0004s0997.1.p, Carub.0004s0995.1.p	
N0.HOG0000015	OG0000000	n71	Aa31LG5G7220	AT2G29000.1	CARHR122230.1	Carub.0004s0999.1.p	
N0.HOG0000016	OG0000000	n75		AT5G16900.1	CARHR196260.1		
N0.HOG0000017	OG0000000	n78	Aa31LG1G6950, Aa31sc13G10, Aa31sc883G30	AT2G14440.1, AT2G14510.2	CARHR196840.1, CARHR007330.1, CARHR007320.1	Carub.0001s0688.1.p, Carub.0001s0687.1.p	
N0.HOG0000018	OG0000000	n87	Aa31sc13G40	AT1G07550.1	CARHR007340.1		
N0.HOG0000019	OG0000000	n89		AT1G07560.1	CARHR165420.1, CARHR007350.1	Carub.0001s0689.1.p	
N0.HOG0000020	OG0000000	n93	Aa31sc23G270	AT5G59650.2, AT5G59660.3, AT5G59670.2, AT5G59680.1	CARHR273130.1, CARHR219850.1, CARHR273190.1, CARHR273200.1, CARHR273170.1, CARHR273160.1, CARHR273210.1, CARHR273220.1, CARHR273250.1, CARHR273230.1, CARHR273240.1	Carub.0008s2030.1.p, Carub.0008s2031.1.p, Carub.0008s2032.1.p	
N0.HOG0000021	OG0000000	n112	Aa31LG4G15410	AT3G46330.1	CARHR154780.1	Carub.0005s1218.1.p	
N0.HOG0000022	OG0000000	n115	Aa31LG4G15420, Aa31LG4G15450, Aa31LG4G15470	AT3G46340.1, AT3G46400.1, AT3G46370.2, AT3G46420.1	CARHR154830.1, CARHR154840.1, CARHR154800.1, CARHR154790.1, CARHR154820.1	Carub.0005s1219.1.p, Carub.0005s1221.1.p, Carub.0005s1220.1.p	
