ATfeature,refGene,Aar,Ath,Bra,Chi,Cru,Csa,Sal,Tar
RPL15A,AT4G16720.1,"Aa31LG2G12900, Aa31LG6G130, Aa31LG9G12170","AT4G16720.1, AT4G17390.1",,"CARHR223250.1, CARHR224000.1","Carub.0007s2402.1.p, Carub.0007s2467.1.p",,,"gene-TAV2_LOCUS23435, gene-TAV2_LOCUS9490"
RPL15B,AT4G17390.1,"Aa31LG2G12900, Aa31LG6G130, Aa31LG9G12170","AT4G16720.1, AT4G17390.1",,"CARHR223250.1, CARHR224000.1","Carub.0007s2402.1.p, Carub.0007s2467.1.p",,,"gene-TAV2_LOCUS23435, gene-TAV2_LOCUS9490"
SAHH2,AT3G23810.1,Aa31LG8G10390,AT3G23810.1,,CARHR099810.1,Carub.0003s2412.1.p,,,gene-TAV2_LOCUS9479
SAHH1,AT4G13940.1,Aa31LG9G3630,AT4G13940.1,,CARHR219830.1,Carub.0007s2853.1.p,,,gene-TAV2_LOCUS24979
AT2G03820,AT2G03820.1,"Aa31LG2G18270, Aa31LG2G2740",AT2G03820.1,,CARHR057990.1,"Carub.0002s1197.1.p, Carub.0005s0298.1.p",,,
EMB1467,AT5G37510.2,"Aa31LG9G17520, Aa31LG9G17530",AT5G37510.2,,CARHR215400.1,Carub.0007s3268.1.p,,,gene-TAV2_LOCUS24266
AT5G58570,AT5G58570.1,"Aa31LG11G330, Aa31LG11G340",AT5G58570.1,,CARHR272400.1,Carub.0008s1917.1.p,,,
RPS10,AT3G13120.1,Aa31LG8G330,AT3G13120.1,,CARHR087710.1,Carub.0003s1246.1.p,,,gene-TAV2_LOCUS10292
EBP2,AT3G22660.1,"Aa31LG5G22190, Aa31LG5G22200",AT3G22660.1,,CARHR098540.1,Carub.0003s2281.1.p,,,
BRO1,AT1G15130.1,Aa31LG1G30,AT1G15130.1,,CARHR015650.1,Carub.0001s1490.1.p,,,gene-TAV2_LOCUS1083
AT1G14810,AT1G14810.1,Aa31LG1G290,AT1G14810.1,,CARHR015340.1,Carub.0001s1460.1.p,,,gene-TAV2_LOCUS524
ZHD4,AT1G14440.1,,AT1G14440.1,,CARHR014890.1,Carub.0001s1415.1.p,,,
AT1G14345,AT1G14345.1,Aa31LG1G700,AT1G14345.1,,CARHR014780.1,Carub.0001s1403.1.p,,,gene-TAV2_LOCUS3576
AT1G14300,AT1G14300.2,Aa31LG1G750,AT1G14300.2,,CARHR014720.1,Carub.0001s1398.1.p,,,gene-TAV2_LOCUS1961
AT1G13990,AT1G13990.3,Aa31LG1G1040,AT1G13990.3,,CARHR014360.1,Carub.0001s1368.1.p,,,gene-TAV2_LOCUS1439
AT1G13670,AT1G13670.1,Aa31LG1G1250,AT1G13670.1,,CARHR014070.1,Carub.0001s1340.1.p,,,
